u,g,r,i,z,redshift
20.0796,19.66487,19.82652,20.03655,20.24863,7.230413e-05
22.52564,19.70584,18.15405,17.66362,17.30853,0.2492206
19.76079,17.98884,16.96311,16.48607,16.10092,0.08122971
25.64478,22.72968,20.97392,19.79739,19.1143,0.65057
26.46894,21.90015,20.26763,19.16597,18.5901,0.5403323
25.0055,22.02864,20.16916,19.17095,18.74952,0.5477458
18.22162,16.63761,15.92146,15.55367,15.3096,0.02262077
26.25977,23.15584,20.70731,19.57153,19.18155,0.5229759
19.78297,18.14109,17.35156,16.91367,16.56028,0.1112595
21.97099,21.53234,21.48468,21.37079,21.46148,2.691501
22.27746,22.22944,21.54725,20.60748,20.43688,0.8302098
22.17256,21.14191,20.64492,20.61265,20.13042,2.37424
18.58471,16.78005,16.08494,15.83509,15.7019,0.000370935
21.04206,20.80386,20.62657,20.62922,20.20874,1.132233
18.89792,17.04496,16.17482,15.74631,15.41859,0.06185524
21.44651,21.27532,20.26834,19.33763,18.84594,0.6981082
22.14725,21.82049,21.89138,21.47087,21.42844,1.171774
19.43852,17.31379,16.191,15.6443,15.25462,0.1116234
25.04515,20.47803,18.79694,18.20709,17.7824,0.3283474
18.87317,16.89988,16.20812,16.02462,15.91265,9.972158e-05
21.89254,22.01407,21.95737,21.30983,21.07812,1.864247
23.46449,21.60071,20.81984,20.54195,20.42971,1.165677
21.23448,19.35171,17.95164,17.45169,17.10948,0.229325
22.51516,20.94156,20.77044,20.45122,20.38612,2.726205
23.92756,23.96684,23.37726,22.23454,21.66755,0.7287946
25.84513,21.99195,20.22571,19.13823,18.76617,0.5603566
22.0466,20.37799,19.68609,19.40252,19.20457,-0.000364609
22.0603,21.3509,21.00872,20.74968,20.67591,1.538315
19.6192,18.68364,18.33061,18.18982,18.18285,-0.0002401038
21.95507,20.86022,20.59174,20.46119,20.07085,3.914078e-07
20.10151,19.69064,19.65035,19.49368,19.50302,0.617485
23.51674,22.06145,21.93734,21.82169,21.36563,0.3137924
22.32207,23.0041,21.95474,21.28127,20.92104,0.9155861
19.99546,19.62239,19.59258,19.59753,19.53108,2.271543
18.68373,17.88994,17.77198,17.67752,18.13463,0.02992273
22.02006,22.12051,21.1011,20.2182,19.89502,0.575837
18.91232,18.77894,18.63102,18.6599,18.70862,1.134658
25.81284,23.54029,21.38088,20.22806,19.85264,0.6368659
22.81435,21.73378,20.37889,19.33677,19.07587,0.5527931
19.18572,17.14504,16.23077,15.86959,15.61496,-0.0002192873
23.90314,23.2877,22.09629,20.97212,19.86583,0.7997603
19.62954,18.23256,17.71639,17.52838,17.44761,0.0001056543
20.96649,18.71647,17.71964,17.27779,16.92014,0.09723627
22.08098,20.73951,20.29169,20.05956,20.16144,0.000185961
23.33037,20.93965,20.18493,19.76667,19.23588,3.049109
21.33198,19.19487,17.71201,17.10431,16.77811,0.2346027
24.86977,22.72799,20.44315,19.57384,19.16434,0.5065785
20.9355,19.53231,19.39814,19.4379,19.23773,3.255737
24.79084,23.58353,21.60285,20.55779,19.82486,0.5661265
22.54852,21.16721,20.03672,19.92784,19.98639,3.855114
22.29817,19.3167,17.9505,17.39864,16.99519,0.2004136
23.04575,21.78105,20.20195,18.8648,18.09256,-0.0001214056
22.61347,22.57971,22.02154,21.65656,21.26358,0.9533698
26.62746,21.54819,19.6527,18.93299,18.50294,0.3313169
27.04901,23.27506,21.23875,20.12046,19.46967,0.7174762
16.98885,15.09506,14.21576,13.82116,13.48322,0.03058832
23.66591,21.36421,19.51687,18.89371,18.52386,0.3681942
22.28067,22.19123,21.79689,21.05735,20.96889,0.9710698
24.75163,21.79008,20.19984,19.3942,19.07667,0.4402566
17.34042,15.89373,15.17365,14.76968,14.5247,0.06542279
24.89342,23.14699,21.12214,20.22904,19.80308,0.5219803
19.71957,18.3867,17.61614,17.18842,16.90449,0.1242774
18.81909,17.70317,17.21775,17.0266,16.91313,-0.0008990322
20.61447,20.45835,20.40347,20.04149,19.87186,1.846215
23.19373,22.54504,20.64569,19.17479,18.36323,0.0001413093
24.40775,22.21613,20.68993,19.62265,19.09043,0.5299128
18.57264,17.13224,16.6123,16.36614,16.17757,0.03186611
19.20782,17.43405,16.5323,16.12565,15.7846,0.108368
24.8717,22.44477,21.60996,20.38696,19.61384,0.6996887
23.0685,20.38093,19.13242,18.65119,18.32689,-9.821689e-05
23.66629,23.00202,21.62712,20.36002,19.69272,0.5863929
24.63466,22.19291,21.01817,20.10092,22.35702,-0.0001766308
25.73293,22.43738,20.6061,19.41293,18.81884,0.6210719
21.82808,21.52496,21.27693,21.19839,20.72532,2.119335
19.88031,18.25924,17.53012,17.19543,16.96508,0.0563581
21.3559,21.57103,21.01656,20.95804,20.73846,1.294398
23.34914,22.05323,22.3899,22.59107,21.12913,0.000283465
20.62691,19.60966,19.23499,19.12597,19.05624,-0.0002320261
23.92496,21.3457,19.81709,18.95875,18.40652,7.686317e-05
26.01106,22.31309,20.69124,19.71724,19.32008,0.4505592
23.35387,21.90973,20.33005,19.41569,18.85335,0.512864
22.36861,20.99048,20.8428,20.73571,20.35039,2.811453
23.56458,22.29233,20.73599,19.85502,19.28096,0.5318946
19.97422,19.80908,19.54785,19.29446,19.50671,1.487094
17.94408,16.59011,16.04457,15.87492,15.8118,-0.0002145476
22.04292,22.9099,21.94889,20.72477,19.64294,0.1940711
22.57194,22.53679,20.83015,19.84419,19.61539,0.5280424
23.13031,23.22566,21.94268,21.36106,20.75413,0.7672163
20.42492,18.5788,17.74924,17.37979,17.18868,0.09731746
19.71127,18.79531,18.47835,18.34387,18.33621,-0.0001810109
21.6722,21.57845,21.3483,21.10387,20.93277,1.83031
22.49731,21.84424,21.06516,19.99841,19.43432,0.8330394
22.69435,21.41557,21.0831,21.26312,21.58029,2.990085
19.65542,19.55423,19.32398,19.31199,19.32704,1.217903
22.70201,21.6382,20.77253,20.34563,20.39538,0.497291
24.01704,20.6439,20.116,19.90589,19.94788,-0.0006238333
21.83032,20.93572,19.45278,18.62566,18.11859,0.5043628
22.89678,20.81581,20.0757,19.73811,19.60773,-0.0001078368
22.04439,21.88933,21.9579,22.25931,21.97145,0.0006329525
20.01522,19.92265,19.88119,19.46092,19.40169,1.79672
24.15259,23.24664,22.12803,20.98585,20.37901,0.6437107
18.76147,16.80314,15.84066,15.4052,15.05621,0.07661986
21.25148,20.12581,20.4309,21.57841,20.61972,0.0002342362
21.96284,21.0355,21.18567,20.70291,20.46721,2.225151
22.59273,23.25544,22.43325,21.77222,21.20625,0.7592509
22.78156,21.8556,21.0666,20.30894,19.96017,4.913074
22.08069,22.15013,21.76776,21.79918,22.11114,0.3921602
21.0338,21.17609,20.81948,20.74021,20.60318,1.35496
23.20534,21.89506,20.15523,19.14149,18.72868,0.5439789
19.36371,18.88693,18.97451,18.99918,18.99154,-3.375157e-05
21.24212,21.49441,21.30483,21.44988,21.17383,1.281626
22.04631,20.78815,20.57235,20.57176,20.56647,0.0007132334
25.47772,21.87623,20.02411,18.98182,18.49108,0.5647576
22.58765,21.38592,19.78166,19.00219,18.49257,0.2984653
24.27356,22.36257,20.78338,19.7247,19.43978,0.4891365
21.47409,19.36281,17.93468,17.36066,16.98197,0.2382457
19.72183,17.43876,16.44215,16.08704,15.80375,8.249276e-05
22.4498,21.53348,21.4342,21.35245,20.73597,2.246766
17.83785,16.54122,15.99815,15.72902,15.55876,0.02595091
19.04803,17.99681,17.54051,17.28281,17.1791,0.1163619
21.63448,21.2809,20.84637,20.61893,20.23302,2.015706
25.44379,25.19836,24.33892,21.31162,19.919,-8.145552e-05
19.92107,18.26988,17.25809,16.78774,16.47055,0.0
21.67257,19.35263,17.93219,17.36817,17.00061,0.2018625
21.23509,20.99019,20.96975,20.66738,20.58421,1.606942
22.72901,22.76331,21.60477,20.75503,19.98919,0.7175259
19.38331,18.39213,18.16673,18.07034,18.06432,-0.0001021926
22.48265,20.76685,19.40666,19.05438,19.17167,-0.0001807953
20.28085,18.49335,17.33084,16.84387,16.44068,0.1611748
21.60758,23.28065,21.55404,20.46763,19.5894,0.7476466
22.02896,22.95003,21.66141,20.92239,20.44907,0.9874244
19.4884,17.76654,16.92235,16.53132,16.19777,0.05286865
21.42057,20.66254,20.54651,20.36475,20.20669,-0.0006217941
19.58204,18.20448,17.48382,17.06947,16.81049,0.1607516
21.6111,21.3146,21.18125,20.62627,20.54838,1.670694
24.31779,19.6591,18.94433,18.63978,18.6294,3.305507
19.32937,17.33994,16.36379,15.93867,15.60298,0.09824885
22.42436,20.60245,18.73866,17.9842,17.60707,0.4308352
25.0478,23.24763,21.39288,20.22806,19.578,0.5952677
19.74575,19.64866,19.48484,19.35074,19.42087,1.445706
18.44891,16.08243,15.10625,14.76886,14.59474,-6.688596e-05
22.10757,20.60895,19.9322,19.60073,19.42893,-0.0003286795
19.28273,18.01025,17.35798,16.97635,16.73909,0.1225129
19.60025,17.66734,16.7461,16.32692,15.99623,0.08621295
23.32447,21.93334,21.69024,21.59862,21.69288,-0.0002891232
18.91885,17.79511,17.28467,17.06043,16.93074,-0.003145917
23.39813,20.69823,19.3609,18.13265,17.52647,-1.773631e-06
20.92839,18.57462,17.46753,17.22555,16.76032,0.1032879
20.76906,18.65164,17.54886,17.08724,16.71231,0.1416264
21.49749,21.091,21.09772,20.74977,21.2694,1.60428
22.32122,21.86684,21.02161,20.89437,20.71466,0.435486
23.34372,23.46992,21.48226,20.43709,19.7318,0.5407051
23.68827,20.62975,19.53976,19.05325,18.70919,0.1956343
22.41315,22.07059,20.32019,19.30559,18.8866,0.5139983
23.7084,22.08602,20.66822,19.88435,19.60539,0.5348542
18.6018,16.45524,15.41234,14.96036,14.62567,0.09254213
23.27332,20.36435,18.83906,17.31851,16.4801,-9.285573e-06
24.44218,21.97124,20.47163,19.61917,19.05031,0.4482827
23.33642,23.37587,20.52319,19.26142,18.81986,0.6367088
19.50102,17.49525,16.5477,16.09316,15.75787,0.08248373
20.07399,18.34787,17.30502,16.76625,16.37694,0.1368455
23.39049,22.58875,20.75341,19.53552,19.25585,0.6166667
23.08646,21.98062,20.98361,19.90283,19.35299,0.7973368
22.96467,22.4691,21.84039,21.23205,20.44102,0.835119
22.26319,22.16793,21.79329,21.70898,22.11828,1.475332
21.15886,20.72547,20.09673,19.88129,19.75501,1.390115
23.4677,23.24541,21.60419,20.31563,19.62611,0.7137429
21.57873,21.34819,20.64851,20.37617,20.43822,0.4171891
21.62898,21.16485,21.22297,21.21709,20.79594,0.881811
19.75618,18.30443,17.59016,17.15506,16.88304,0.1073607
22.98298,22.51094,22.07197,21.26708,20.70329,0.8777446
23.00333,23.30836,21.25138,19.97805,19.35164,0.5400746
18.9977,17.76703,17.04917,16.66395,16.36982,0.1243533
19.3871,17.52319,16.6722,16.26035,15.98748,0.07214497
21.1107,18.47933,17.40982,17.02354,16.82316,3.935423e-05
24.43573,23.91035,22.60101,21.7178,22.11843,0.9579334
22.61476,21.51721,20.99766,20.94874,20.49388,-0.0006432229
18.19473,17.02337,16.66913,16.43844,16.33757,0.03832386
22.88815,22.18829,20.72681,19.73572,19.1314,-0.0003490944
25.05869,21.57407,19.76625,18.80024,18.4415,0.544394
19.59455,18.10313,17.35773,16.95771,16.69296,0.1028284
22.99407,22.46948,20.83381,19.8103,19.45731,0.5359389
21.08021,19.92397,19.67926,19.6003,19.61752,-0.0005937286
21.29894,20.61104,20.73951,20.75246,20.45098,2.44582
22.64411,21.95607,19.9586,19.12371,18.72074,0.4406274
22.06876,21.7274,21.82681,21.3575,22.04509,1.795674
19.49527,17.6496,16.67382,16.12174,15.71632,0.0629052
20.05391,18.73035,18.15567,17.88043,17.77803,0.0005572921
21.48862,21.55574,21.44244,21.34,21.40365,1.400788
24.83283,23.49124,21.54998,19.98981,19.15857,4.038383e-06
20.60936,18.61738,17.61468,17.16143,16.83319,0.116734
26.2411,22.58019,21.80865,20.5303,19.85105,0.5226623
24.58036,22.2035,20.83435,19.92136,19.43807,0.5133595
20.96765,20.15357,19.68871,19.40108,19.18816,0.1899088
18.62024,17.27171,16.63917,16.27805,16.03314,0.08811614
21.15221,20.57969,20.40899,20.45099,20.22829,2.607863
21.49266,21.20683,21.10505,20.984,20.66807,2.578667
19.49623,18.6228,18.0115,17.75969,17.56725,0.256485
22.7022,21.83412,20.44197,19.59573,19.31354,0.5065156
23.45712,21.78721,19.96655,19.00972,18.5559,0.4873447
21.30539,20.37283,20.53135,20.58225,20.45317,-0.0004922076
20.93279,20.10451,19.88812,19.78463,19.66718,-0.0003946844
19.5228,19.19614,18.98126,18.65552,18.36611,0.4911771
22.07671,22.28434,20.35168,19.51937,19.2972,0.4935715
17.87339,16.97094,16.70005,16.5776,16.56861,-0.0005133133
18.61819,16.63319,15.82305,15.43368,15.18594,0.08069272
22.22522,20.79795,19.16461,18.48589,17.97714,0.3879278
25.34478,22.22141,20.66355,19.75031,19.37513,0.5220628
25.41603,23.45068,21.63857,20.51602,19.83175,0.627741
26.1623,22.92069,20.70078,19.57447,19.16013,0.5116281
21.762,21.10849,19.24796,18.3316,17.84118,0.4863543
21.98457,21.68595,20.31777,19.34453,18.70403,4.053422e-05
20.37528,18.41497,17.23921,16.71159,16.31363,0.147741
23.95842,20.06387,18.39816,17.7461,17.40666,0.3581521
23.67843,22.10517,20.55554,20.08079,19.63403,0.3520408
22.88069,24.89388,22.1308,20.62465,19.8602,0.6759779
21.41713,20.90109,20.8154,20.88577,20.31915,2.556574
24.2381,21.06638,19.55048,17.88158,16.94062,-4.18298e-05
23.7788,21.15521,19.65162,18.90873,18.55276,-8.378793e-05
21.70377,21.44957,21.1049,20.92675,21.45878,2.308998
26.73237,24.07505,21.90327,20.6262,19.95245,0.7348277
22.70874,22.29321,21.82986,21.24781,20.55406,0.7764683
21.87788,21.59232,21.43875,21.38245,21.59735,1.452953
21.0354,20.09059,19.94,19.90633,19.63745,2.272274
22.09716,19.68008,18.06186,17.48924,17.10225,0.3185536
24.97041,24.44517,22.33134,21.0839,19.45362,0.003857495
19.80148,19.41558,19.22915,19.16463,18.90286,2.535236
21.41929,20.38827,19.84291,19.66226,19.54996,-0.0004643203
22.87434,20.38345,19.18911,18.72259,18.45719,-0.0002417677
20.11655,18.14115,17.14489,16.69915,16.3628,0.1069681
21.91381,21.9753,21.87032,21.52018,21.99284,1.873806
23.88395,23.37537,20.95956,19.73943,19.38452,0.5685783
20.18222,20.1036,20.2398,20.44757,20.34699,1.1178
25.19336,22.59194,21.34894,20.14122,19.84964,0.5519109
25.54574,23.00683,23.45327,22.71983,21.18018,1.942901
19.91769,17.90112,16.97342,16.57676,16.2778,0.07804766
19.44707,18.47925,18.21095,18.13017,18.1353,0.000940382
22.23882,22.99727,22.12391,20.91737,19.74636,0.8282939
22.72856,22.06292,22.15474,22.23321,20.8743,2.317494
23.80979,22.38204,20.69322,19.66534,19.17293,0.6852767
22.56935,21.50014,21.72583,21.73217,21.64244,0.006375832
19.84699,18.47475,17.76018,17.30285,17.04001,0.09113131
17.30412,15.81253,15.10719,14.73306,14.43708,0.05229103
23.48866,22.72192,21.12549,19.95927,19.3081,0.737012
21.80558,20.47592,18.6807,18.04094,17.56351,0.3061266
24.47491,24.35452,22.47901,20.68675,19.99341,0.6463219
19.42228,18.89201,18.86538,18.85974,18.6523,2.434223
24.05531,20.81117,18.98256,18.11964,17.66381,0.4381197
18.45742,17.27903,17.28074,17.34643,17.42722,-0.0003521774
22.37442,22.12739,20.6923,19.62637,18.90101,0.5403746
18.98872,18.03176,17.755,17.62629,17.5931,-4.031996e-05
18.76237,18.58487,18.28927,18.31535,18.42636,1.299193
23.81117,22.39469,20.77181,19.70766,19.11303,-0.0002213791
24.71602,22.99392,21.58529,20.44528,19.76378,0.0001130738
20.51693,18.60387,17.3965,16.80025,16.33101,0.1882459
26.21301,20.95333,19.32283,18.62319,18.2538,0.4262081
23.62164,20.85619,19.08333,18.48577,18.04819,0.3674369
19.69679,17.56036,16.44408,15.99511,15.63488,0.1328681
22.41812,21.28316,19.42715,18.78763,18.27283,0.3606325
25.8393,24.81718,21.78769,20.45203,19.73669,0.7214383
18.38328,16.59322,15.77696,15.3979,15.08755,0.04035749
17.52888,17.42172,17.77456,18.04364,18.25732,-0.0002927515
22.39453,22.36689,20.6371,19.58061,19.0703,0.5013054
22.33691,21.81987,21.54392,21.24271,20.90297,1.542958
23.20481,21.792,20.34865,19.04424,18.88698,-0.0001130846
25.28428,22.98853,20.22034,19.21451,18.63414,0.6175686
19.89586,18.55801,17.9144,17.68877,17.57737,-0.0003130117
23.42338,21.87426,20.42312,19.60064,19.23151,0.49595
23.96507,22.83983,21.35968,20.17018,19.54065,0.5989521
19.55481,19.06942,18.68652,18.47458,18.09597,0.3717406
22.69984,21.45134,19.72643,18.88719,18.36017,0.4659865
19.15149,19.11183,18.71611,18.54552,17.89108,0.2922775
21.78722,22.65022,20.0399,18.9799,18.44921,0.5796742
19.11824,18.0494,17.59543,17.21337,17.10213,0.08566901
23.47674,23.00493,23.31117,21.83105,22.28683,1.138676
23.02883,23.36355,21.62231,20.28504,19.61435,0.6880944
23.62749,22.35251,20.98924,19.80043,19.46213,0.5548872
26.9248,23.45986,21.90181,20.36104,19.68445,1.092434
18.81576,17.57808,17.10927,16.93923,16.86274,-7.770958e-05
25.31484,22.18615,20.63849,19.62191,19.26287,0.559199
18.10645,16.507,15.86744,15.63199,15.51139,6.661298e-05
22.04208,21.44814,20.55952,21.50447,20.84566,0.2817833
27.6015,20.16528,18.56503,17.93052,17.57677,0.2328168
19.75425,17.9551,17.09282,16.65728,16.34532,0.07182737
20.89761,18.87704,17.5753,17.09251,16.75051,0.1891533
21.5141,21.08549,19.63482,19.11133,18.63846,0.3735036
24.1655,22.97141,21.2997,20.01865,19.36427,0.7475818
20.14352,19.77197,19.54412,19.27942,19.16059,1.633127
20.66793,20.10749,19.87725,19.78735,19.71116,5.931767e-05
22.17161,21.46725,19.73996,18.81585,18.42647,0.4929294
22.46952,20.69662,18.95507,18.3411,18.01569,0.3544289
20.94928,19.15446,18.23613,17.83082,17.55022,0.1507429
24.71999,21.92762,20.91715,19.99997,19.51103,0.7146921
19.77499,18.90304,18.5976,18.49411,18.45821,0.001472326
21.57953,20.13783,19.56328,19.30896,19.1557,0.0004753596
25.22604,22.38525,20.89307,19.85673,19.57382,0.6301154
22.64114,23.19078,21.30567,20.24036,19.54048,1.460606
24.13204,22.01148,21.75683,21.84244,21.84632,2.918355
26.30527,23.34588,21.24799,20.07487,19.41374,0.6647006
23.84811,23.50476,22.36639,21.23876,20.06211,0.333137
26.12204,22.48233,21.97046,20.66337,19.52065,0.9761959
20.83543,19.12617,17.96684,17.37004,16.85985,0.1220592
20.83513,19.8305,19.60656,19.39499,19.28002,-0.0006117441
22.51271,20.85747,19.03547,18.38619,18.08223,0.3796395
21.44485,20.09781,19.18727,18.4992,18.21483,0.2265566
26.75531,22.84969,22.02559,20.90197,19.94034,1.166294
22.12133,21.36449,21.26446,21.42223,21.06323,3.070101
20.39669,18.64835,17.68159,17.2629,16.92938,0.1278366
22.12399,19.43256,18.27373,17.83377,17.63654,3.417825e-05
19.57332,18.48554,17.80049,17.43977,17.23804,0.1924052
19.21333,17.81007,17.12372,16.71489,16.49985,0.0988271
19.75335,18.20928,17.33834,16.91803,16.67714,0.1470826
26.18299,21.56116,19.65308,18.90707,18.4917,0.4294808
19.64525,17.90924,17.14067,16.79627,16.48446,0.03892389
22.33135,22.28789,21.20095,20.05848,19.76411,0.6164119
21.59587,20.78304,20.53337,20.45484,20.30095,-0.0009082687
19.70266,17.1348,16.08239,15.71748,15.51754,3.755618e-05
20.07004,19.47873,19.27723,19.27563,19.09628,2.471867
22.02054,21.5507,21.4025,20.97359,20.93064,1.837835
19.15979,17.79294,16.2913,15.15415,14.25355,0.0002112725
25.88139,23.45703,21.75517,20.59221,19.84685,0.6353942
20.36491,19.28233,19.02762,18.9214,19.02558,-0.0001272749
21.32114,19.88793,18.27155,17.628,17.17076,0.3003483
21.25634,22.83858,22.14681,22.35187,19.87135,0.000361264
20.81166,18.64388,17.51663,17.03432,16.66697,0.1417737
25.63487,22.11616,21.89864,21.76228,21.33318,1.556532
25.8243,22.81215,21.03637,19.80557,19.42883,0.6410061
22.92795,19.63233,17.85853,17.26936,16.86751,0.3134766
19.67541,18.01665,17.15337,16.69122,16.32006,0.07176311
19.21266,18.14599,17.65352,17.25064,17.14639,0.1074807
20.72705,18.81781,17.53433,17.06648,16.71659,0.1934984
23.04457,21.97364,20.62835,19.53314,19.06822,0.5682017
22.26719,21.47408,20.4344,19.65726,19.22379,0.6786435
19.94134,18.2649,17.50154,17.18046,17.01854,0.0001736772
17.78617,16.92652,16.42594,16.16817,15.86757,0.04709934
21.71564,19.07571,17.59119,17.08851,16.72989,0.2454042
21.20755,19.33601,17.89977,17.35614,16.93695,0.212065
21.60814,21.01297,20.28734,19.53805,19.2382,0.6131286
22.68003,22.05853,21.9413,21.70148,21.76684,1.55821
26.33376,22.07894,20.17963,19.35175,18.97175,0.4962447
24.23294,21.53942,20.24457,19.43055,18.89091,0.5159536
23.3044,21.93233,21.94158,21.88186,22.08671,2.533505
20.534,18.55018,17.43895,16.96574,16.6256,0.1239402
20.32301,18.34244,17.28252,16.8312,16.45343,0.138046
19.23301,17.21552,16.23208,15.76707,15.41568,0.08948794
19.5834,18.33481,17.77668,17.45221,17.2156,0.055911
25.13654,22.14782,20.38292,19.54854,19.0853,0.4602605
18.97254,17.07707,16.10364,15.61015,15.24066,0.0765871
21.35987,21.04149,20.6347,20.64713,20.48977,1.186496
17.6981,16.48241,16.08334,15.92702,15.87866,-0.0002543388
23.90754,21.86724,20.39739,19.4835,19.086,-0.0001665459
15.64282,14.88761,14.62324,14.51715,14.38431,0.005284935
21.36579,21.38432,21.57401,21.11021,21.24994,1.921701
20.49998,18.58064,17.44915,16.97451,16.63963,0.1559423
22.63454,22.7393,22.64141,20.99814,21.14775,0.8994606
22.36853,21.43578,20.19803,19.33505,18.82143,0.5545632
19.2291,18.03366,17.41609,17.02264,16.85478,0.06678931
24.35593,22.07194,20.11512,19.23207,18.59033,0.442222
22.01617,21.37327,20.29435,19.79016,19.50837,1.88551
25.25775,21.61219,20.93639,20.80503,20.6468,-0.0001193305
25.06448,23.33539,21.83326,20.74605,19.96168,1.459283
21.52795,21.38471,21.35412,20.96322,20.71769,1.71979
22.95397,20.80964,18.84887,18.1795,17.76288,-0.0001569984
20.3675,19.97025,19.8484,19.82646,19.51168,2.171027
22.77254,21.92789,21.94566,21.60446,21.55836,2.199277
23.67074,23.48143,21.87513,20.59941,19.82044,0.7864727
25.51195,21.96809,21.64926,21.65152,21.26347,-0.0005077625
18.34182,17.41878,17.16699,17.0844,17.04588,-0.0006036952
22.84627,20.22927,18.58205,18.01384,17.63641,0.3068873
24.12914,22.20161,20.44636,19.45984,18.89834,0.4721483
23.29356,22.7058,21.97475,20.36228,19.50648,0.7783866
21.79554,21.54253,21.3675,21.03585,20.56011,1.090504
22.16131,21.45843,21.26191,21.22155,21.37701,2.214765
21.04014,20.79218,19.87719,19.17088,18.68316,0.6363872
21.50724,21.78824,21.33639,21.27905,23.75511,1.336182
21.47184,19.71716,19.05741,18.82131,18.59918,-0.0002075309
19.63287,19.18655,18.72169,18.60867,18.57353,1.082533
20.86701,19.01777,17.61114,17.08546,16.69724,0.2379555
20.38206,19.81981,19.69259,19.70304,19.49427,0.7031192
19.26599,17.92938,17.23661,16.83432,16.59815,0.1300413
22.09741,21.77028,21.84475,21.87897,21.20473,2.068162
22.69995,22.23583,20.55165,19.45178,18.79269,0.6199424
23.83018,21.88371,21.86308,22.03706,22.28349,3.136428
23.24462,21.96973,20.09031,19.24244,18.77109,0.5425124
22.53188,23.8707,22.38537,21.79513,20.71292,0.5289331
24.58463,22.62569,20.85644,19.95696,19.52142,0.5267237
20.47617,19.68765,19.29271,19.14918,19.00989,0.0005684478
23.39445,22.02892,20.15043,19.32295,18.93586,0.465731
19.41774,18.04686,17.32623,16.92601,16.67769,0.1045507
22.447,21.82878,21.73769,21.64195,21.6302,0.0004697068
19.88925,18.47116,17.82378,17.45018,17.22688,0.07363934
25.9391,22.88894,21.43876,20.08519,19.31389,0.5849032
22.51037,21.49923,21.34253,21.52199,20.97556,0.0002401602
25.18852,24.41859,21.82207,20.43865,19.71914,0.7066088
22.50113,21.56121,19.75265,18.76431,18.25732,0.5090372
17.07923,15.54978,15.01768,14.83619,14.77485,-7.013545e-05
21.9619,21.47517,20.22033,19.46394,19.12925,0.5152065
21.19919,21.14421,20.83739,20.67462,20.63469,1.347377
20.8259,19.48295,18.90445,18.70993,18.59414,-0.0006853971
21.44882,21.0404,20.57877,20.55903,20.21927,0.9287772
21.99294,21.36122,21.3197,21.19525,21.15957,2.308323
26.21699,22.7535,20.92536,19.7353,19.22346,0.6203086
21.29709,20.68937,20.29045,19.81377,19.76534,0.4925834
22.20953,21.83736,20.45748,19.67225,19.3755,0.5222544
22.1946,21.23302,20.92409,20.90568,20.98983,2.68792
25.70347,22.08312,20.3899,19.53206,19.00333,0.4674985
22.98921,22.86434,21.67431,21.30028,20.88828,0.6186093
19.41803,18.36044,17.96284,17.85736,17.78912,0.0001346335
21.50154,21.84579,21.23023,21.27461,21.53758,1.157449
21.55052,21.73689,21.44895,21.38142,21.56524,1.265205
22.59602,20.84969,20.30247,20.11825,20.03866,-0.0008187601
22.75908,22.20043,22.06683,21.93946,22.2914,1.73907
20.08876,19.49888,19.01995,18.8323,18.85395,1.418034
22.85037,22.40556,22.74877,21.7458,19.28479,-0.0001006775
25.06333,22.25997,20.51053,19.66196,19.14375,0.4793699
23.23671,21.05615,19.23722,18.56956,18.22406,0.3693936
21.79418,20.50322,20.26374,20.18837,20.26521,-0.0002638859
21.79999,21.27388,20.94199,21.05294,21.04868,2.377857
25.46126,22.95562,21.75519,20.12622,19.44598,-0.0001352486
19.61847,17.15207,16.14846,15.79335,15.62867,-0.0001328885
22.91444,21.73755,21.85889,22.09169,22.27119,0.03433441
22.80826,24.02805,22.34076,20.93561,19.66891,0.875365
20.56165,18.44677,17.4698,17.07781,16.76393,0.129338
25.30643,22.51657,20.84856,19.8962,19.43435,0.4544063
20.60952,20.1052,19.90741,19.58817,19.36182,0.4754602
22.32969,21.69258,21.51293,21.43065,21.02329,0.0009034374
23.85449,22.21826,20.70142,19.84063,19.44118,0.5350502
23.13702,22.85533,22.33939,21.4379,21.09187,0.7887735
24.70775,20.85822,19.02552,18.3575,17.96931,0.383277
20.52301,19.48743,18.90811,18.46335,18.36664,0.1823044
23.55707,21.25093,20.71259,20.06273,19.82398,2.936361
22.45843,21.57446,20.5584,20.13962,19.85459,0.9560542
19.70393,17.49518,16.5142,16.06899,15.76053,0.1209159
21.51228,20.07386,18.57727,17.9853,17.5092,0.2453212
20.03616,19.59355,19.04909,18.11938,17.49387,-3.318354e-05
18.59029,17.50697,17.15766,17.00782,16.95135,-0.000633438
19.86591,18.22985,17.13583,16.68902,16.36482,0.1996723
22.6954,22.65649,20.50434,19.50431,19.26986,0.5733035
24.99114,21.44648,19.73618,18.92954,18.62384,0.4807462
26.09187,23.07677,21.74486,20.83672,20.08948,-0.000185209
19.90722,18.45827,17.91429,17.71434,17.61339,0.0001520368
20.71646,19.07874,18.20783,17.7729,17.4066,0.05641221
21.59203,21.24652,21.15081,21.18104,20.422,0.8424459
25.50846,21.45431,19.96092,19.20309,18.68763,0.3369827
22.0658,21.86666,20.47992,19.64299,19.22004,0.5997202
23.77728,22.27325,20.99135,19.90893,19.29132,0.5597753
24.19274,21.99844,20.61055,19.86057,19.41616,0.3881842
22.86254,22.69844,22.07936,21.6258,21.38205,0.6133487
22.06465,22.05946,21.76873,21.55767,21.07852,1.102316
21.44478,20.64504,20.44102,20.46757,20.04682,2.3675
